ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:47:38.742Z hisSize:56483 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint maxVal:100 his minVal:0 humidity id:@p:linkEdge:r:2d997a3d-1687e50e "Site B Room 4 Living AQ Humidity" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"%RH" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" curStatus:"ok" point curVal:38%RH disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"Humidity" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"humidity" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:humidity"
2025-01-03T11:07:39+02:00 Bucharest,34%RH
2025-01-03T11:15:00+02:00 Bucharest,34%RH
2025-01-03T11:30:00+02:00 Bucharest,34%RH
2025-01-03T11:45:00+02:00 Bucharest,34%RH
2025-01-03T12:00:00+02:00 Bucharest,34%RH
2025-01-03T12:15:00+02:00 Bucharest,34%RH
2025-01-03T12:30:00+02:00 Bucharest,34%RH
2025-01-03T12:37:38+02:00 Bucharest,34.5%RH
2025-01-03T12:45:00+02:00 Bucharest,34.5%RH
2025-01-03T13:00:00+02:00 Bucharest,34.5%RH
2025-01-03T13:15:00+02:00 Bucharest,34.5%RH
2025-01-03T13:17:37+02:00 Bucharest,35%RH
2025-01-03T13:30:00+02:00 Bucharest,35%RH
2025-01-03T13:45:00+02:00 Bucharest,35%RH
2025-01-03T13:57:36+02:00 Bucharest,35.5%RH
2025-01-03T14:00:00+02:00 Bucharest,35.5%RH
2025-01-03T14:15:00+02:00 Bucharest,35.5%RH
2025-01-03T14:30:00+02:00 Bucharest,35.5%RH
2025-01-03T14:45:00+02:00 Bucharest,35.5%RH
2025-01-03T14:57:35+02:00 Bucharest,36%RH
2025-01-03T15:00:00+02:00 Bucharest,36%RH
2025-01-03T15:15:00+02:00 Bucharest,36%RH
2025-01-03T15:30:00+02:00 Bucharest,36%RH
2025-01-03T15:45:00+02:00 Bucharest,36%RH
2025-01-03T16:00:00+02:00 Bucharest,36%RH
2025-01-03T16:15:00+02:00 Bucharest,36%RH
2025-01-03T16:27:34+02:00 Bucharest,36.5%RH
2025-01-03T16:30:00+02:00 Bucharest,36.5%RH
2025-01-03T16:45:00+02:00 Bucharest,36.5%RH
2025-01-03T17:00:00+02:00 Bucharest,36.5%RH
2025-01-03T17:15:00+02:00 Bucharest,36.5%RH
2025-01-03T17:17:33+02:00 Bucharest,36%RH
2025-01-03T17:30:00+02:00 Bucharest,36%RH
2025-01-03T17:45:00+02:00 Bucharest,36%RH
2025-01-03T18:00:00+02:00 Bucharest,36%RH
2025-01-03T18:07:32+02:00 Bucharest,35.5%RH
2025-01-03T18:15:00+02:00 Bucharest,35.5%RH
2025-01-03T18:30:00+02:00 Bucharest,35.5%RH
2025-01-03T18:45:00+02:00 Bucharest,35.5%RH
2025-01-03T19:00:00+02:00 Bucharest,35.5%RH
2025-01-03T19:07:31+02:00 Bucharest,35%RH
2025-01-03T19:15:00+02:00 Bucharest,35%RH
2025-01-03T19:30:00+02:00 Bucharest,35%RH
2025-01-03T19:45:00+02:00 Bucharest,35%RH
2025-01-03T20:00:00+02:00 Bucharest,35%RH
2025-01-03T20:15:00+02:00 Bucharest,35%RH
2025-01-03T20:30:00+02:00 Bucharest,35%RH
2025-01-03T20:45:00+02:00 Bucharest,35%RH
2025-01-03T21:00:00+02:00 Bucharest,35%RH
2025-01-03T21:15:00+02:00 Bucharest,35%RH
2025-01-03T21:30:00+02:00 Bucharest,35%RH
