ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:46:51.78Z hisSize:51917 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint his id:@p:linkEdge:r:2d997a3d-7836afaf "Site B Room 4 Living AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:45:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"°C" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" curStatus:"ok" point curVal:25.2°C disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" temp hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:temperature"
2025-01-01T12:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-01T13:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-01T13:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-01T13:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-01T13:38:27+02:00 Bucharest,23.399999618530273°C
2025-01-01T13:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T13:48:27+02:00 Bucharest,23.600000381469727°C
2025-01-01T14:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-01T14:08:27+02:00 Bucharest,23.899999618530273°C
2025-01-01T14:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-01T14:18:27+02:00 Bucharest,24°C
2025-01-01T14:30:00+02:00 Bucharest,24°C
2025-01-01T14:45:00+02:00 Bucharest,24°C
2025-01-01T14:48:26+02:00 Bucharest,24.600000381469727°C
2025-01-01T15:00:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T15:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T15:28:25+02:00 Bucharest,24.799999237060547°C
2025-01-01T15:30:00+02:00 Bucharest,24.799999237060547°C
2025-01-01T15:38:25+02:00 Bucharest,24.299999237060547°C
2025-01-01T15:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-01T15:58:25+02:00 Bucharest,24.600000381469727°C
2025-01-01T16:00:00+02:00 Bucharest,24.600000381469727°C
